"","temperature_main","temperature_main","ASPump","FBRM","L50","L90","L10","W10","W50","W90","stirrer_main","SOLUPump","SOLVPump","SeedPump","Scale","CLEPump","Valve_position","stirrer_seed","stirrer_solution","CED10","CED50","CED90"
Time,H01:External T,H01:T Setpt,File  W: AS flow ,OPC R: Counts ,OPC R: L50 ,OPC R: L90 ,OPC R: L10 ,OPC R: W10 ,OPC R: W50 ,OPC R: W90 ,S01:Stirrer speed  (Setpt),P02:Pump speed  (Setpt),P01:Pump speed  (Setpt),P03:Pump speed  (Setpt),File R: AS Scale ,P04:Pump speed  (Setpt),File  W: Valve state,S02:Stirrer speed  (Setpt),S03:Stirrer speed  (Setpt),OPC R: CED10 micron,OPC R: CED50 micron,OPC R: CED90 micron
min,C,C,RPM,Counts,micron,micron,micron,micron,micron,micron,RPM,RPM,RPM,RPM,g,RPM,,RPM,RPM,,,
4.804,20.070,20.000,0.000,1809.530,14.871,24.119,1.648,0.856,1.806,3.110,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.648,5.363,8.823
4.991,20.070,20.000,0.000,1936.254,14.871,24.119,1.648,0.856,1.806,3.110,350.000,0.000,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.648,5.363,8.823
5.083,20.070,20.000,0.000,1936.254,14.871,24.119,1.648,0.862,1.808,3.112,350.000,30.449,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.322,4.265,8.537
5.176,20.060,20.000,0.000,1988.893,11.553,22.947,1.322,0.862,1.808,3.112,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.322,4.265,8.537
5.268,20.050,20.000,0.000,1906.492,11.553,22.947,1.322,0.862,1.808,3.112,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.322,4.265,8.537
5.357,20.060,20.000,0.000,1906.492,11.553,22.947,1.322,0.862,1.808,3.112,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.322,4.265,8.537
5.442,20.050,20.000,0.000,1915.049,11.553,22.947,1.322,0.862,1.808,3.112,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.322,4.265,8.537
5.527,20.070,20.000,0.000,1915.049,11.553,22.947,1.322,0.862,1.808,3.112,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.322,4.265,8.537
5.612,20.080,20.000,0.000,2922.569,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
5.697,20.100,20.000,0.000,2922.569,13.879,23.837,1.470,0.859,1.807,3.111,350.000,42.150,0.000,0.000,0.000,0.000,0.000,310.000,200.000,1.470,5.110,8.827
