,,Mass
Time,File  W: AS ,File R: Mass 
min,rpm,g
11.35,0.5,1282.8
11.383,0.5,1282.9
11.417,0.5,1282.9
11.45,0.5,1282.9
11.483,0.5,1282.8
11.517,0.5,1282.8
11.55,0.5,1282.8
11.583,0.5,1282.8
11.617,0.5,1282.8
11.65,0.5,1282.9
11.683,0.5,1282.9
11.717,0.5,1282.9
11.75,0.5,1282.8
11.783,0.5,1282.8
11.817,0.5,1282.8
11.85,0.5,1282.8
11.883,0.5,1282.8
11.917,0.5,1282.9
11.95,0.5,1282.8
11.983,0.5,1282.8
12.017,0.5,1282.8
12.05,0.5,1282.8
12.083,0.5,1282.8
12.117,0.5,1282.8
12.15,0.5,1282.8
12.183,0.5,1282.8
12.217,0.5,1282.8
12.25,0.5,1282.8
12.283,0.5,1282.8
12.317,0.5,1282.8
12.35,0.5,1282.8
12.383,0.5,1282.8
12.417,0.5,1282.8
12.45,0.5,1282.8
12.484,0.5,1282.8
12.517,0.5,1282.8
12.55,0.5,1282.7
12.583,0.5,1282.7
12.617,0.5,1282.7
12.65,0.5,1282.8
12.683,0.5,1282.8
12.717,0.5,1282.7
12.75,0.5,1282.7
12.784,0.5,1282.7
12.817,0.5,1282.7
12.85,0.5,1282.8
12.884,0.5,1282.8
12.917,0.5,1282.7
12.95,0.5,1282.7
12.984,0.5,1282.7
13.017,0.5,1282.7
13.05,0.5,1282.7
13.084,0.5,1282.7
13.117,0.5,1282.7
13.15,0.5,1282.7
13.184,0.5,1282.7
13.217,0.5,1282.7
13.25,0.5,1282.7
13.284,0.5,1282.7
13.317,0.5,1282.7
13.35,0.5,1282.7
13.384,0.5,1282.7
13.417,0.5,1282.7
13.45,0.5,1282.7
13.484,0.5,1282.7
13.517,0.5,1282.7
13.55,0.5,1282.7
13.584,0.5,1282.7
13.617,0.5,1282.7
13.65,0.5,1282.7
13.684,0.5,1282.7
13.717,0.5,1282.7
13.75,0.5,1282.7
13.784,0.5,1282.6
13.817,0.5,1282.6
13.85,0.5,1282.6
13.884,0.5,1282.6
13.917,0.5,1282.6
13.95,0.5,1282.6
13.984,0.5,1282.5
14.017,0.5,1282.5
